rank,ticker,name,asset_type,indices,recommendation,score_0_100,composite_z,indicative_weight,block_momentum,block_risk_adjusted,block_risk,block_market_sensitivity,block_liquidity,block_valuation_carry,block_portfolio_fit,last_price,return_1y,volatility,max_drawdown,beta,alpha_annual,sharpe,sortino,calmar,adv_usd,corr_to_portfolio,existing_overlap,gates
1,LLY,ELI LILLY & CO,STOCK,SP500,OVERWEIGHT,100.0,1.861,0.0320,0.984,1.016,0.647,1.803,-0.105,-0.107,1.078,1213.09,0.7322,0.3284,-0.1871,0.181,0.7025,1.709,2.244,3.914,3684925077,0.087,0.0000,
2,MU,MICRON TECHNOLOGY INC,STOCK,SP500|NDX,MARKET WEIGHT,95.0,1.147,0.0079,1.236,1.589,-1.235,1.365,0.682,0.233,-0.888,868.14,6.1856,0.7617,-0.2742,2.925,4.9376,2.936,3.441,22.557,44380278389,0.609,0.0272,VOLATILITY: 76% annualized exceeds the 60% overweight ceiling -- factor estimates unreliable and inverse-vol sizing collapses the position to an immaterial weight
3,JPM,JPMORGAN CHASE & CO,STOCK,SP500|DJIA,OVERWEIGHT,90.0,1.078,0.0523,0.399,0.084,1.195,0.328,-0.039,0.176,1.130,362.00,0.2463,0.2009,-0.1408,0.551,0.1251,0.985,0.920,1.749,3315444601,0.088,0.0000,
4,AAPL,APPLE INC,STOCK,SP500|NDX|DJIA,OVERWEIGHT,85.0,0.901,0.0417,0.204,0.150,1.169,0.292,0.623,0.340,0.186,304.28,0.3166,0.2516,-0.1107,0.867,0.1484,1.051,1.097,2.861,17355859104,0.365,0.0384,
5,SMH,VANECK SEMICONDUCTOR ETF,ETF,ETF,OVERWEIGHT,80.0,0.720,0.0321,1.235,1.456,-1.376,0.518,0.216,-0.217,-0.522,572.89,0.9379,0.3273,-0.1809,1.964,0.4751,2.063,2.347,5.185,6698306650,0.687,0.0000,
6,GOOGL,ALPHABET INC-CL A,STOCK,SP500|NDX,OVERWEIGHT,75.0,0.704,0.0294,0.105,0.639,0.390,0.391,0.414,0.221,0.057,343.72,0.6859,0.3574,-0.2022,1.720,0.3412,1.522,1.948,3.392,11378677749,0.450,0.0000,
7,XLE,SS ENERGY SELECT SECTOR,ETF,ETF,OVERWEIGHT,70.0,0.702,0.0455,0.196,0.681,-0.889,1.483,-0.423,-0.102,1.199,60.90,0.4243,0.2309,-0.1493,-0.761,0.5638,1.466,1.300,2.842,2047448364,-0.484,0.0000,
8,IWM,ISHARES RUSSELL 2000 ETF,ETF,ETF,OVERWEIGHT,65.0,0.675,0.0657,0.272,0.839,0.559,-0.086,0.256,-0.231,0.112,300.91,0.3252,0.1599,-0.0886,0.940,0.1226,1.577,1.965,3.671,7565533119,0.580,0.0000,
9,XLV,SS HEALTH CARE SELECT SECTOR,ETF,ETF,OVERWEIGHT,60.0,0.582,0.0659,0.102,0.268,0.240,0.479,-0.300,-0.178,1.106,167.84,0.2335,0.1594,-0.1057,0.189,0.1646,1.129,1.250,2.208,1785675724,0.107,0.0000,
10,VTWO,VANGUARD RUSSELL 2000 ETF,ETF,ETF,MARKET WEIGHT,55.0,0.024,0.0377,0.273,0.827,0.592,-0.116,-2.383,-0.194,-0.118,121.63,0.3247,0.1592,-0.0866,0.960,0.1188,1.581,2.025,3.749,159360130,0.594,0.0307,
11,SPY,SPDR S&P 500 ETF TRUST,ETF,ETF,MARKET WEIGHT,50.0,-0.015,0.0490,-0.021,0.282,0.846,-0.664,0.815,-0.283,-1.178,770.15,0.1973,0.1224,-0.0864,1.000,0.0000,1.186,1.328,2.283,40880763633,0.860,0.1653,CONCENTRATION: 0.86 correlation to book at 16.5% existing weight
12,AMZN,AMAZON.COM INC,STOCK,SP500|NDX|DJIA,MARKET WEIGHT,45.0,-0.096,0.0164,0.165,-0.492,0.240,-0.667,0.477,0.149,-0.069,272.09,0.1787,0.3663,-0.1964,1.764,-0.0673,0.509,0.626,0.910,13790796643,0.449,0.0173,
13,QQQ,INVESCO QQQ TRUST SERIES 1,ETF,ETF,MARKET WEIGHT,40.0,-0.172,0.0327,0.056,0.096,0.166,-0.794,0.733,-0.419,-0.519,718.12,0.2444,0.1834,-0.1057,1.390,-0.0086,1.052,1.174,2.312,31683682541,0.848,0.0000,
14,NVDA,NVIDIA CORP,STOCK,SP500|NDX|DJIA,MARKET WEIGHT,35.0,-0.192,0.0185,-0.165,-0.394,0.548,-0.530,0.830,-0.521,-0.215,217.50,0.2050,0.3242,-0.1727,1.650,-0.0433,0.602,0.696,1.187,32732241007,0.574,0.0000,
15,DBA,INVESCO DB AGRICULTURE FUND,ETF,ETF,UNDERWEIGHT,30.0,-0.620,0.0217,-0.467,-1.214,0.802,-0.013,-2.543,0.359,1.108,27.60,0.0196,0.0968,-0.0796,0.061,-0.0271,-0.191,-0.203,0.246,30580386,0.072,0.0139,
16,TLT,ISHARES 20+ YEAR TREASURY BD,ETF,ETF,UNDERWEIGHT,25.0,-0.627,0.0240,-0.903,-1.587,0.654,-0.256,-0.119,0.511,0.748,82.20,-0.0487,0.0874,-0.1015,0.130,-0.1021,-1.015,-0.909,-0.480,2278674746,0.317,0.0000,TREND: below 40W MA with negative 12M-1M momentum
